"Timestamp","Nama Citra","Kelompok","Nilai R","Nilai G","Nilai B","Nilai H","Nilai S","Nilai V"
"Thu-25-May-2023 10-32-34","1A","Tomat Matang","0.61","0.22","0.17","6.81","71.77","60.75"
"Thu-25-May-2023 11-01-14","1A","Tomat Matang","0.61","0.22","0.17","6.81","71.77","60.75","18224"
"Thu-25-May-2023 11-02-28","1B","Tomat Matang","0.62","0.21","0.17","6.25","72.92","61.82","18688"
"Thu-25-May-2023 11-03-09","2A","Tomat Matang","0.61","0.21","0.18","3.32","69.82","60.89","15736"
"Thu-25-May-2023 11-05-55","2B","Tomat Matang","0.61","0.21","0.18","4.21","69.87","60.55","15107"
"Thu-25-May-2023 11-07-44","3A","Tomat Matang","0.58","0.24","0.18","8.44","69.19","58.36","18416"
"Thu-25-May-2023 11-08-00","3B","Tomat Matang","0.59","0.24","0.17","10.09","71.3","59.04","19136"
"Thu-25-May-2023 11-08-27","4A","Tomat Matang","0.61","0.2","0.19","1.5","68.24","60.52","18796"
"Thu-25-May-2023 11-09-07","4B","Tomat Matang","0.6","0.2","0.19","1.94","68.3","60.38","18771"
"Thu-25-May-2023 11-09-35","5A","Tomat Matang","0.56","0.28","0.16","18.2","70.75","55.57","19667"
"Thu-25-May-2023 11-09-54","5B","Tomat Matang","0.59","0.25","0.16","12.94","73.62","59.3","19513"
"Thu-25-May-2023 11-10-17","6A","Tomat Matang","0.6","0.23","0.17","8.38","71.91","60.16","18661"
"Thu-25-May-2023 11-10-39","6B","Tomat Matang","0.61","0.23","0.16","9.0","73.05","60.66","18732"
"Thu-25-May-2023 11-11-18","7A","Tomat Matang","0.6","0.23","0.16","9.55","73.07","60.42","16176"
"Thu-25-May-2023 11-11-39","7B","Tomat Matang","0.62","0.23","0.15","9.6","75.3","61.94","16677"
"Thu-25-May-2023 11-11-54","8A","Tomat Matang","0.63","0.21","0.16","5.85","74.8","63.41","19815"
"Thu-25-May-2023 11-12-11","8A","Tomat Matang","0.63","0.21","0.16","5.85","74.8","63.41","19815"
"Thu-25-May-2023 11-12-44","8B","Tomat Matang","0.63","0.2","0.16","5.42","74.4","63.32","19611"
"Thu-25-May-2023 11-13-04","9A","Tomat Matang","0.62","0.23","0.15","9.64","75.11","61.78","15227"
"Thu-25-May-2023 11-13-29","9B","Tomat Matang","0.62","0.22","0.15","9.03","75.23","62.16","15780"
"Thu-25-May-2023 11-14-10","10A","Tomat Matang","0.63","0.22","0.15","9.43","76.47","62.86","16807"
"Thu-25-May-2023 11-14-30","10B","Tomat Matang","0.61","0.24","0.15","11.07","75.62","61.46","16680"
"Thu-25-May-2023 11-14-51","11A","Tomat Matang","0.61","0.22","0.17","5.72","71.57","61.1","15741"
